
TD Q-learning:

0 0	0 1	0 2	0 3	0 4	0 5	1 0	1 1	1 2	1 3	1 4	1 5	2 0	2 1	2 2	2 3	2 4	2 5	3 0	3 1	3 2	3 3	3 4	3 5	4 0	4 1	4 2	4 3	4 4	4 5	5 0	5 1	5 2	5 3	5 4	5 5	
-0.04	-1.0	0.0	0.0	0.0	0.0	0.6479513786257275	0.7412270746135785	0.6817850529843698	0.0	-1.0	0.0	0.8436893023244134	0.7949035915123319	0.7416940577813387	0.0	0.0	3.0	0.9004980198251613	0.8514901772248209	0.8029665403256596	0.0	0.0	0.0	0.95	0.9004997662801238	0.8473649249271294	0.7851389596831391	0.0	0.0	1.0	-1.0	0.7976062488326296	0.0	-1.0	-1.0	
-0.04	-1.0	0.0	0.0	0.0	0.0	0.6902868480796184	0.7412270746135785	0.6817850529843698	0.0	-1.0	0.0	0.8436893023244134	0.7949035915123319	0.7416940577813387	0.0	0.0	3.0	0.9004980198251613	0.8514901772248209	0.8029665403256596	0.0	0.0	0.0	0.95	0.9004997662801238	0.8473649249271294	0.7851389596831391	0.0	0.0	1.0	-1.0	0.7976062488326296	0.0	-1.0	-1.0	
-0.04	-1.0	0.0	0.0	0.0	0.0	0.6902868480796184	0.7412270746135785	0.6817850529843698	0.0	-1.0	0.0	0.8436893023244134	0.7949035915123319	0.7416940577813387	0.0	0.0	3.0	0.9004980198251613	0.851494112704108	0.8029665403256596	0.0	0.0	0.0	0.95	0.9004997662801238	0.8473649249271294	0.7851389596831391	0.0	0.0	1.0	-1.0	0.7976062488326296	0.0	-1.0	-1.0	
0.5751453798153484	-1.0	0.0	0.0	0.0	0.0	0.6841751756300438	0.7412270746135785	0.694185430886016	0.0	-1.0	0.0	0.8511214330886956	0.8012035435179241	0.7535402073741835	0.0	0.0	3.0	0.8561438236250696	0.851494112704108	0.8029776855474896	0.0	0.0	0.0	0.95	0.9004997662801238	0.8473649249271294	0.7851389596831391	0.0	0.0	1.0	-1.0	0.7976062488326296	0.0	-1.0	-1.0	
0.5751453798153484	-1.0	0.0	0.0	0.0	0.0	0.6841751756300438	0.7412270746135785	0.694185430886016	0.0	-1.0	0.0	0.8511214330886956	0.8012035435179241	0.7535402073741835	0.0	0.0	3.0	0.8561438236250696	0.851494112704108	0.7994242856608536	0.0	0.0	0.0	0.95	0.9004997662801238	0.8511193282818504	0.7851389596831391	0.0	0.0	1.0	-1.0	0.7976062488326296	0.0	-1.0	-1.0	
0.5751453798153484	-1.0	0.0	0.0	0.0	0.0	0.6841751756300438	0.7412270746135785	0.694185430886016	0.0	-1.0	0.0	0.8511214330886956	0.8012035435179241	0.7535402073741835	0.0	0.0	3.0	0.8561438236250696	0.8513042956167164	0.7994242856608536	0.0	0.0	0.0	0.95	0.9004999787527385	0.8511193282818504	0.7851389596831391	0.0	0.0	1.0	-1.0	0.7976062488326296	0.0	-1.0	-1.0	
0.5751453798153484	-1.0	0.0	0.0	0.0	0.0	0.6841751756300438	0.7412270746135785	0.694185430886016	0.0	-1.0	0.0	0.8511214330886956	0.8012035435179241	0.7535402073741835	0.0	0.0	3.0	0.8561438236250696	0.8513042956167164	0.7994242856608536	0.0	0.0	0.0	0.95	0.9004999787527385	0.8511193282818504	0.7851389596831391	0.0	0.0	1.0	-1.0	0.7976062488326296	0.0	-1.0	-1.0	
0.5751453798153484	-1.0	0.0	0.0	0.0	0.0	0.7887969364830903	0.7412270746135785	0.694185430886016	0.0	-1.0	0.0	0.8103035758700612	0.802596858206005	0.7543741241236902	0.0	0.0	3.0	0.8561438236250696	0.8513042956167164	0.7994242856608536	0.0	0.0	0.0	0.95	0.9004999977801368	0.8511193282818504	0.7851389596831391	0.0	0.0	1.0	-1.0	0.7976062488326296	0.0	-1.0	-1.0	
0.5751453798153484	-1.0	0.0	0.0	0.0	0.0	0.7887969364830903	0.7412270746135785	0.7060400733826759	0.0	-1.0	0.0	0.8103035758700612	0.802596858206005	0.7543741241236902	0.0	0.0	3.0	0.8561438236250696	0.8513767059881354	0.7985986320286925	0.0	0.0	0.0	0.95	0.9004999977801368	0.8468924954875543	0.7851389596831391	0.0	0.0	1.0	-1.0	0.798854535097378	0.0	-1.0	-1.0	
0.5751453798153484	-1.0	0.0	0.0	0.0	0.0	0.7887969364830903	0.7412270746135785	0.7060400733826759	0.0	-1.0	0.0	0.8103035758700612	0.802596858206005	0.7543741241236902	0.0	0.0	3.0	0.8561438236250696	0.8513767059881354	0.7985986320286925	0.0	0.0	0.0	0.95	0.9004999977801368	0.8468924954875543	0.7851389596831391	0.0	0.0	1.0	-1.0	0.798854535097378	0.0	-1.0	-1.0	
0.5751453798153484	-1.0	0.0	0.0	0.0	0.0	0.7887969364830903	0.7412270746135785	0.7067695898440088	0.0	-1.0	0.0	0.807092180480828	0.802596858206005	0.7543741241236902	0.0	0.0	3.0	0.8561438236250696	0.8513767059881354	0.8021522211116604	0.0	0.0	0.0	0.95	0.9004999977801368	0.8501086594444612	0.7851389596831391	0.0	0.0	1.0	-1.0	0.7984196411014285	0.0	-1.0	-1.0	
0.5751453798153484	-1.0	0.0	0.0	0.0	0.0	0.7887969364830903	0.7412270746135785	0.7067695898440088	0.0	-1.0	0.0	0.807092180480828	0.8012285757445856	0.7543741241236902	0.0	0.0	3.0	0.8561438236250696	0.8514688814277718	0.7941266904017573	0.0	0.0	0.0	0.95	0.9004999977801368	0.8501086594444612	0.7851389596831391	0.0	0.0	1.0	-1.0	0.7984196411014285	0.0	-1.0	-1.0	
0.5751453798153484	-1.0	0.0	0.0	0.0	0.0	0.7887969364830903	0.7412270746135785	0.7018708302948921	0.0	-1.0	0.0	0.807092180480828	0.8012285757445856	0.747040959384033	0.0	0.0	3.0	0.8473682619031924	0.817710038320885	0.800459909845793	0.0	0.0	0.0	0.95	0.9004999977801368	0.8501086594444612	0.7851389596831391	0.0	0.0	1.0	-1.0	0.7984196411014285	0.0	-1.0	-1.0	
0.5751453798153484	-1.0	0.6468755124480678	0.5899082858920529	0.0	0.0	0.7887969364830903	0.7412270746135785	0.6938136489374424	0.0	-1.0	0.0	0.807092180480828	0.8012285757445856	0.7403951433538691	0.0	0.0	3.0	0.8473682619031924	0.817710038320885	0.800459909845793	0.0	0.0	0.0	0.95	0.9004999977801368	0.8501086594444612	0.7851389596831391	0.0	0.0	1.0	-1.0	0.7984196411014285	0.0	-1.0	-1.0	
0.5751453798153484	-1.0	0.6468755124480678	0.5994230295857629	0.0	0.0	0.7887969364830903	0.7412270746135785	0.6930544578447236	0.0	-1.0	0.0	0.807092180480828	0.8012285757445856	0.7111354974600078	0.0	0.0	3.0	0.8473682619031924	0.8494636236562988	0.800459909845793	0.0	0.0	0.0	0.95	0.9004999977801368	0.8501086594444612	0.7851389596831391	0.0	0.0	1.0	-1.0	0.7984196411014285	0.0	-1.0	-1.0	
